epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,8.276649475097656,0.08442395180463791,,8.452445030212402,0.0
500,18.400602340698242,0.2927970886230469,,21.264404296875,0.0
1000,18.588764190673828,0.2996354401111603,,21.294069290161133,0.0
1500,12.53430461883545,0.2147161215543747,,13.01701545715332,0.0
2000,12.533960342407227,0.21424908936023712,,13.016151428222656,0.0
2500,12.535581588745117,0.21667127311229706,,13.017820358276367,0.0
2999,12.537315368652344,0.21981781721115112,,13.020180702209473,0.0
