epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,13.180464744567871,0.2541394531726837,,13.35722541809082,0.0
500,19.88954734802246,0.37428903579711914,,20.78880500793457,0.0
1000,21.18507194519043,0.396463006734848,,22.455814361572266,0.0
1500,21.85199737548828,0.4139080047607422,,23.361175537109375,0.0
2000,22.217208862304688,0.4243759214878082,,23.906757354736328,0.0
2500,22.515377044677734,0.4333169460296631,,24.36565399169922,0.0
3000,22.70045280456543,0.4400765001773834,,24.667938232421875,0.0
3500,22.78359603881836,0.4432648718357086,,24.803762435913086,0.0
3999,22.798433303833008,0.4438348710536957,,24.82801055908203,0.0
