epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,10.116231918334961,0.6514436602592468,,10.179658889770508,0.0
500,22.59267807006836,0.771401584148407,,23.842453002929688,0.0
1000,23.872360229492188,0.7790278792381287,,25.67483901977539,0.0
1500,21.770830154418945,0.7664315700531006,,22.797245025634766,0.0
2000,23.42254638671875,0.7746846675872803,,25.0246639251709,0.0
2500,24.241735458374023,0.7808158993721008,,26.278989791870117,0.0
3000,24.78676986694336,0.7855626940727234,,27.169219970703125,0.0
3500,25.123422622680664,0.7890806198120117,,27.75469207763672,0.0
3999,25.320035934448242,0.7915773391723633,,28.139690399169922,0.0
