epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,4.164334297180176,0.30080604553222656,,4.240696907043457,0.0
500,18.08003807067871,0.34284231066703796,,20.623796463012695,0.0
1000,19.405864715576172,0.43350863456726074,,23.139793395996094,0.0
1500,19.00098419189453,0.4527091085910797,,22.620014190673828,0.0
2000,19.97681999206543,0.49429813027381897,,24.818422317504883,0.0
2500,20.546977996826172,0.5203587412834167,,26.974241256713867,0.0
3000,20.768142700195312,0.5139636993408203,,29.088970184326172,0.0
3500,20.852041244506836,0.4914170205593109,,32.145416259765625,0.0
4000,20.622573852539062,0.4425729215145111,,35.284645080566406,0.0
4500,20.510597229003906,0.4243788421154022,,36.8845100402832,0.0
4999,20.467185974121094,0.4138723611831665,,40.65739440917969,0.0
