epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate_muon,learning_rate_aux,rank_wsd_phase,rank_wsd_phase_name,rank_wsd_lr_ratio,rank_wsd_N_rand,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.13066327571868896,3.6051204204559326,0.2255958914756775,,3.645115852355957,0.003,0.03,0,stable,1.0,1,1.857252597808838,1.9940954446792603,5.174139499664307,1.0800542831420898,76.36368560791016,182.29156494140625,0.07031182944774628,251.2284393310547,77.48458862304688,182.54930114746094,0.06977001577615738,422.1990661621094,77.71783447265625,181.6604766845703,0.0691918283700943,901.8312377929688,1.0032005310058594,1.0240147113800049,0.9032908082008362,25.521875381469727,4061.2312171987655
500,0.007707799784839153,19.061677932739258,0.29226067662239075,,21.054418563842773,0.003,0.03,0,stable,1.0,1,1.8720676898956299,1.995331883430481,6.4065093994140625,1.070840835571289,100.218505859375,203.3843231201172,0.3992445766925812,17000.95703125,69.5190200805664,179.61778259277344,0.6947576999664307,514.9990234375,95.01231384277344,204.0534210205078,0.8898594379425049,388862.53125,1.0202025175094604,1.1026637554168701,0.33835598826408386,119.15148162841797,1369711.5098425674
1000,0.0028960469644516706,21.420719146728516,0.3837749660015106,,25.45254135131836,0.003,0.03,0,stable,1.0,1,1.8710874319076538,1.9952549934387207,6.410453796386719,1.0714430809020996,90.2859878540039,198.38087463378906,0.4104292690753937,9820.4853515625,66.41323852539062,171.35464477539062,0.7543193697929382,1320.0262451171875,94.55601501464844,203.9459228515625,0.8933839797973633,60016.921875,1.142330527305603,1.4591307640075684,0.4562316834926605,58.17240905761719,2070837.0485646208
1500,0.002357856370508671,21.79973793029785,0.4207781255245209,,26.382333755493164,0.003,0.03,0,stable,1.0,1,1.8702507019042969,1.9951890707015991,6.4142889976501465,1.0719581842422485,86.96439361572266,195.22743225097656,0.41335582733154297,2328.200439453125,62.25825119018555,164.76251220703125,0.7752602100372314,4279.71337890625,94.59819030761719,203.93426513671875,0.8933847546577454,36474.55078125,1.1588197946548462,1.5089445114135742,0.4520595669746399,19.2153263092041,2125172.8033530647
2000,0.0021221255883574486,22.006473541259766,0.44403302669525146,,26.845380783081055,0.003,0.03,0,stable,1.0,1,1.870019555091858,1.9951707124710083,6.417446613311768,1.0721005201339722,81.84519958496094,192.7626953125,0.42259037494659424,2027.5767822265625,60.56727981567383,156.9865264892578,0.8134172558784485,1948.816650390625,94.60881805419922,203.9027557373047,0.8935057520866394,12399.3525390625,1.1726305484771729,1.535205602645874,0.45512354373931885,20.3765811920166,2296475.768693152
2500,0.0018872212385758758,22.236652374267578,0.4671352803707123,,27.522403717041016,0.003,0.03,0,stable,1.0,1,1.8698457479476929,1.9951568841934204,6.419656753540039,1.0722075700759888,81.16627502441406,190.7620086669922,0.42142343521118164,618.9547729492188,57.85908508300781,150.11184692382812,0.8919892907142639,1762.7548828125,94.44556427001953,203.89234924316406,0.8945780396461487,5563.69775390625,1.124602198600769,1.4187651872634888,0.47141578793525696,63.10173797607422,2605268.282315508
3000,0.0016836186405271292,22.316282272338867,0.47768306732177734,,27.727832794189453,0.003,0.03,0,stable,1.0,1,1.8701982498168945,1.9951847791671753,6.420952320098877,1.0719902515411377,81.01204681396484,189.14666748046875,0.4193245768547058,1430.736083984375,57.64882278442383,146.2943878173828,0.9683495163917542,4480.99267578125,94.16975402832031,203.87066650390625,0.8962989449501038,17160.521484375,1.1270655393600464,1.4231923818588257,0.46831321716308594,102.1471939086914,2801632.507583332
3500,0.001244919840246439,22.646474838256836,0.5016017556190491,,28.961902618408203,0.0027293517406962787,0.027293517406962786,1,linear_decay,0.9097839135654262,1,1.8709723949432373,1.9952459335327148,6.421794891357422,1.0715140104293823,79.52886962890625,187.68170166015625,0.42132750153541565,99470.3359375,56.8127326965332,144.9611358642578,1.057205080986023,8105.06640625,94.07950592041016,203.82449340820312,0.897174060344696,1454809.125,1.1322213411331177,1.435161828994751,0.47037073969841003,93.2920150756836,3090241.721272798
4000,0.0007793536642566323,23.0435848236084,0.5269928574562073,,31.056777954101562,0.001919027611044418,0.01919027611044418,1,linear_decay,0.6396758703481393,1,1.871132493019104,1.9952585697174072,6.423792839050293,1.0714154243469238,78.87274932861328,187.00555419921875,0.4222390651702881,409.30706787109375,60.26328659057617,145.1467742919922,1.0704452991485596,3008.33056640625,94.081787109375,203.850830078125,0.8973201513290405,38634.40234375,1.1265134811401367,1.4221895933151245,0.4963681995868683,88.82929992675781,3310592.7066142266
4500,0.0004191503394395113,23.265399932861328,0.5319603085517883,,33.78675842285156,0.001108703481392557,0.01108703481392557,1,linear_decay,0.36956782713085234,1,1.8711951971054077,1.9952634572982788,6.4247260093688965,1.071376919746399,78.67501831054688,186.79885864257812,0.42150288820266724,662.4971313476562,59.08904266357422,144.51219177246094,1.0853945016860962,7090.1396484375,94.12566375732422,203.85073852539062,0.8971797227859497,18656.361328125,1.1196588277816772,1.4061076641082764,0.5277158617973328,88.0229263305664,3562561.3043058873
