epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,3.6719706058502197,-0.03011440485715866,,3.686544418334961,0.0
500,25.58645248413086,0.5848453044891357,,31.778396606445312,0.0
1000,26.897567749023438,0.6422767639160156,,40.66389083862305,0.0
1500,26.825122833251953,0.6392912864685059,,37.1241340637207,0.0
2000,26.862762451171875,0.6354683041572571,,39.233154296875,0.0
2500,26.80365753173828,0.619239866733551,,44.780784606933594,0.0
3000,26.627933502197266,0.5962321758270264,,45.56267547607422,0.0
3500,26.546260833740234,0.5859294533729553,,45.8115348815918,0.0
3999,26.531343460083008,0.5840724110603333,,45.85636520385742,0.0
