Epoch,stable_rank_layer_0,effective_rank_layer_0,spectral_norm_layer_0,condition_number_layer_0,stable_rank_layer_1,effective_rank_layer_1,spectral_norm_layer_1,condition_number_layer_1,stable_rank_layer_2,effective_rank_layer_2,spectral_norm_layer_2,condition_number_layer_2,stable_rank_layer_3,effective_rank_layer_3,spectral_norm_layer_3,condition_number_layer_3,stable_rank_layer_4,effective_rank_layer_4,spectral_norm_layer_4,condition_number_layer_4,end_to_end_bound
0,1.9067625999450684,1.9976093769073486,7.304179668426514,1.050154447555542,77.88064575195312,182.55410766601562,1.1332722902297974,955.3953247070312,76.52597045898438,182.20779418945312,1.1450912952423096,1111194.875,75.47557067871094,181.2869873046875,1.1523932218551636,779.3336181640625,1.719454288482666,2.616194725036621,0.7717801332473755,1.8593641519546509,1348838.9655725388
500,1.881553053855896,1.9960383176803589,8.065352439880371,1.0650641918182373,75.86195373535156,181.69200134277344,1.157283902168274,3023.19580078125,73.8170166015625,179.5992889404297,1.1247880458831787,465.01953125,52.1564826965332,154.79930114746094,1.1829993724822998,1134.852294921875,1.7309964895248413,2.555027961730957,0.6056225299835205,2.1446220874786377,1203484.425013668
1000,1.8685176372528076,1.9950504302978516,8.26504135131836,1.0730271339416504,75.36724853515625,181.1934814453125,1.1658802032470703,734.3017578125,71.21595001220703,177.47998046875,1.1392964124679565,278.0267028808594,49.47325134277344,146.92889404296875,1.2831640243530273,5808.78515625,1.6108640432357788,2.4230003356933594,0.6839737296104431,2.460545778274536,1541619.7575290038
1500,1.8617379665374756,1.9944874048233032,8.390021324157715,1.077239751815796,74.22319030761719,180.67462158203125,1.1818878650665283,499.69293212890625,69.9618911743164,175.2657928466797,1.1549248695373535,71909.2734375,48.69194412231445,142.7595977783203,1.3530210256576538,1323.4366455078125,1.5539509057998657,2.3565104007720947,0.7335545420646667,2.6141717433929443,1818653.6988150484
2000,1.8575356006622314,1.994120717048645,8.446700096130371,1.0798760652542114,72.51345825195312,180.2354278564453,1.2023067474365234,1184.3414306640625,68.75035858154297,173.74014282226562,1.1754051446914673,1164.6845703125,47.2713737487793,140.652099609375,1.432534098625183,28361.111328125,1.5090738534927368,2.298745632171631,0.7848050594329834,2.7518062591552734,2147220.7303748676
2500,1.8581198453903198,1.99417245388031,8.443085670471191,1.0795083045959473,71.53299713134766,180.07736206054688,1.213453769683838,1088.8416748046875,67.48037719726562,172.61256408691406,1.1928719282150269,12718.248046875,46.250057220458984,138.89883422851562,1.5087428092956543,5078.81103515625,1.502539038658142,2.284464120864868,0.8195193409919739,2.8096046447753906,2417757.020979093
3000,1.8582152128219604,1.9941810369491577,8.438301086425781,1.0794484615325928,70.98624420166016,180.10536193847656,1.2194156646728516,371.9453125,66.80877685546875,171.91896057128906,1.2026710510253906,2326.169921875,45.46352767944336,137.13758850097656,1.576831579208374,6967.1044921875,1.5018326044082642,2.27964186668396,0.8415480852127075,2.8380584716796875,2627470.6424914817
3500,1.8581212759017944,1.99417245388031,8.43638801574707,1.0795074701309204,70.43535614013672,180.09805297851562,1.2251824140548706,360.711181640625,66.41395568847656,171.61215209960938,1.2096915245056152,676.2946166992188,45.25468063354492,135.734130859375,1.6333367824554443,15424.8828125,1.493159532546997,2.2643983364105225,0.8691545724868774,2.8920514583587646,2840041.477047482
4000,1.858067274093628,1.9941678047180176,8.435492515563965,1.0795414447784424,70.22411346435547,180.09033203125,1.2281981706619263,592.23974609375,65.93350982666016,171.29673767089844,1.2181240320205688,823.1788940429688,44.87871551513672,134.330078125,1.6925249099731445,17631.955078125,1.4802957773208618,2.2438793182373047,0.8972341418266296,2.9582207202911377,3066417.218864752
4500,1.8580741882324219,1.9941685199737549,8.434988975524902,1.079537034034729,70.05642700195312,180.1052703857422,1.2307120561599731,569.2149047851562,65.7585678100586,171.0902862548828,1.2228647470474243,576.048583984375,44.60054397583008,133.53292846679688,1.729657530784607,3355.7041015625,1.4715977907180786,2.230747699737549,0.9131911396980286,2.9974045753479004,3208198.218882167
4999,1.8580769300460815,1.9941686391830444,8.434904098510742,1.0795353651046753,70.02047729492188,180.11196899414062,1.231401801109314,521.4164428710938,65.748291015625,171.04493713378906,1.2237548828125,693.7686767578125,44.57065963745117,133.42938232421875,1.7364387512207031,2626.07470703125,1.4699699878692627,2.228289842605591,0.9163879156112671,3.004697322845459,3236183.7791052163
