epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,7.0119242668151855,0.1236126497387886,,7.132875919342041,0.0
500,12.848443984985352,0.32330039143562317,,13.334301948547363,0.0
1000,12.847920417785645,0.3222270905971527,,13.332886695861816,0.0
1500,12.849627494812012,0.3261317014694214,,13.334609985351562,0.0
2000,12.849513053894043,0.32545557618141174,,13.334609985351562,0.0
2500,12.851876258850098,0.33199170231819153,,13.33736801147461,0.0
2999,12.854284286499023,0.33923831582069397,,13.339794158935547,0.0
