epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,7.174167633056641,0.2918377220630646,,7.299044609069824,0.0
500,18.714921951293945,0.41964948177337646,,21.435394287109375,0.0
1000,19.68041229248047,0.49068060517311096,,23.10095977783203,0.0
1500,19.90736198425293,0.5216969847679138,,23.536170959472656,0.0
2000,20.11458396911621,0.54714435338974,,23.95273208618164,0.0
2500,20.19428253173828,0.5542680621147156,,23.88895034790039,0.0
3000,20.852798461914062,0.5986842513084412,,25.993206024169922,0.0
3500,21.930362701416016,0.6616440415382385,,30.640012741088867,0.0
3999,21.922657012939453,0.6183490753173828,,37.044212341308594,0.0
