epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.37751615047454834,5.318966388702393,0.1022443175315857,,5.400118350982666,0.0009999999014026553,1.8947253227233887,1.9969137907028198,7.303219318389893,1.0571950674057007,77.89352416992188,182.5655059814453,1.1335983276367188,1810.54736328125,76.5843734741211,182.20806884765625,1.144842267036438,8135.3974609375,75.49424743652344,181.25424194335938,1.1520631313323975,700.4945678710938,2.6725986003875732,2.98862624168396,0.6204972267150879,1.1042150259017944,6.775405894163301
500,0.02112491801381111,15.75377368927002,0.3481840193271637,,16.742996215820312,0.0009754556526527767,1.9019520282745361,1.9973429441452026,7.440069198608398,1.0529512166976929,12.619011878967285,136.19358825683594,3.2223927974700928,3299.2705078125,26.40733528137207,172.41070556640625,2.013308048248291,1755.76123046875,15.062714576721191,161.7620391845703,2.688727855682373,71092.78125,2.6733150482177734,2.988654375076294,0.619976818561554,1.104363203048706,80.46147327934631
1000,0.020827461034059525,15.811187744140625,0.3484441339969635,,16.81546974182129,0.000904419435410629,1.8974860906600952,1.9970818758010864,7.4928483963012695,1.0555678606033325,10.14877986907959,111.31295776367188,3.9458377361297607,1303.1778564453125,20.68811798095703,166.68551635742188,2.3055968284606934,8728.5791015625,12.790522575378418,156.03721618652344,2.9490387439727783,2715.7158203125,2.749183177947998,2.9911396503448486,0.620215654373169,1.0990214347839355,124.67883497865276
1500,0.020599886775016785,15.847945213317871,0.34879815578460693,,16.86194610595703,0.0007938447695582991,1.8959097862243652,1.9969865083694458,7.5284953117370605,1.056496024131775,8.686458587646484,95.69557189941406,4.645403861999512,4668.44921875,17.817598342895508,157.1922149658203,2.544724225997925,2972.228515625,10.164848327636719,146.25128173828125,3.3641700744628906,5771.36083984375,2.745961904525757,2.9861319065093994,0.6335800290107727,1.121375322341919,189.69321973392053
2000,0.02037764899432659,15.8837890625,0.34911200404167175,,16.907333374023438,0.0006545554738084113,1.8927655220031738,1.996791124343872,7.564374923706055,1.0583548545837402,8.092794418334961,84.38475036621094,5.222813606262207,2178.368408203125,13.477246284484863,142.4478302001953,3.0077919960021973,7444.0244140625,8.831588745117188,135.8141326904297,3.704472541809082,1453.0914306640625,2.3506882190704346,2.9380338191986084,0.7221851944923401,1.2780516147613525,317.90717745865965
2500,0.020214952528476715,15.915699005126953,0.34980034828186035,,16.947509765625,0.0005001861549145554,1.89216148853302,1.9967527389526367,7.588822841644287,1.0587129592895508,7.789911270141602,76.66494750976562,5.70609712600708,1818.8135986328125,9.706613540649414,128.53762817382812,3.6371450424194336,5529.86083984375,7.824709415435791,118.86092376708984,4.1024556159973145,1229.5650634765625,1.9724445343017578,2.8082847595214844,0.8515908718109131,1.5071377754211426,550.2361037134456
3000,0.020018629729747772,15.945442199707031,0.3496413230895996,,16.985496520996094,0.00034584755736434975,1.8921825885772705,1.9967541694641113,7.607751846313477,1.058700442314148,7.734091281890869,71.90911865234375,6.034608364105225,2147.814697265625,7.9877214431762695,117.66878509521484,4.101217269897461,3601.9912109375,6.801641464233398,102.82284545898438,4.5864481925964355,10859.29296875,1.7990646362304688,2.6896703243255615,0.9676836729049683,1.7208613157272339,835.657108211152
3500,0.019825076684355736,15.979059219360352,0.35023441910743713,,17.02802848815918,0.0002066474184262493,1.8925725221633911,1.996778964996338,7.6217451095581055,1.058469295501709,7.825736045837402,69.1251449584961,6.228097438812256,5187.0927734375,7.156402111053467,110.33712005615234,4.40865421295166,7403.17333984375,6.125671863555908,91.14035034179688,5.021548271179199,7253.140625,1.4539101123809814,2.3001670837402344,1.2917999029159546,2.297095537185669,1357.527842237727
4000,0.019698891788721085,16.000688552856445,0.35040733218193054,,17.055625915527344,9.621161756391294e-05,1.892191767692566,1.9967548847198486,7.632309913635254,1.0586950778961182,7.968486309051514,67.65674591064453,6.3185319900512695,5584.69970703125,6.8048810958862305,106.49585723876953,4.572205543518066,10088.44140625,5.786010265350342,84.1087646484375,5.318384170532227,7146.32958984375,1.3136945962905884,2.0381276607513428,1.5513956546783447,2.758934736251831,1819.2827728813184
4500,0.019634174183011055,16.011831283569336,0.3505023419857025,,17.069889068603516,2.535038041721489e-05,1.8919016122817993,1.9967361688613892,7.637457847595215,1.0588672161102295,8.055984497070312,67.08930206298828,6.348803997039795,5549.5546875,6.710310935974121,105.18901824951172,4.627234935760498,5012.9072265625,5.645074367523193,81.05201721191406,5.46758508682251,151147.28125,1.2676979303359985,1.932909369468689,1.680809497833252,2.9890620708465576,2061.941501196369
4999,0.01962153986096382,16.013994216918945,0.3505220115184784,,17.072669982910156,1e-06,1.8918251991271973,1.9967312812805176,7.638632774353027,1.0589126348495483,8.071063995361328,67.00228118896484,6.354042053222656,5276.14453125,6.697329998016357,104.97200012207031,4.635908603668213,3911.007080078125,5.6171650886535645,80.50773620605469,5.495522499084473,114187.21875,1.2617377042770386,1.9184787273406982,1.7001845836639404,3.0233359336853027,2102.353035127348
