epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,11.210461616516113,0.028572766110301018,,11.321674346923828,0.0
500,23.691680908203125,0.5228117108345032,,25.752376556396484,0.0
1000,24.214191436767578,0.5295946598052979,,27.25288200378418,0.0
1500,23.61861228942871,0.5280129313468933,,26.14199447631836,0.0
2000,23.89897346496582,0.5390872955322266,,26.535423278808594,0.0
2500,23.54295539855957,0.5346603989601135,,26.213512420654297,0.0
3000,24.570720672607422,0.571042001247406,,27.734771728515625,0.0
3500,24.107437133789062,0.5682684779167175,,27.512004852294922,0.0
4000,25.79460906982422,0.6427485346794128,,30.76709747314453,0.0
4500,26.067031860351562,0.6564004421234131,,33.919246673583984,0.0
4999,25.795061111450195,0.6369845271110535,,36.33356475830078,0.0
