epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.39726877212524414,3.4138946533203125,-0.11974102258682251,,3.479294538497925,0.0009999999014026553,1.860905647277832,1.9944156408309937,5.160397052764893,1.0777603387832642,69.26282501220703,176.29693603515625,0.08199731260538101,792.93359375,6.288300037384033,122.58065795898438,0.2724694609642029,1788.6090087890625,5.73124361038208,115.86687469482422,0.2834777235984802,10949.3505859375,2.1179168224334717,2.8776912689208984,0.04812243580818176,1.3669346570968628,4026.3087402067936
500,0.001643629278987646,20.609312057495117,0.5255937576293945,,27.792285919189453,0.0009754556526527767,1.8610734939575195,1.9944301843643188,5.155970573425293,1.07765531539917,12.210360527038574,117.93403625488281,0.4500855505466461,3034.54443359375,1.5182452201843262,10.497873306274414,1.5884877443313599,20283.193359375,1.706203579902649,11.00251293182373,1.464208722114563,24468.3671875,1.0911885499954224,1.3422324657440186,0.3118966519832611,25.99079704284668,4309660.278140439
1000,0.0020506891887634993,20.59279441833496,0.5329797267913818,,27.679828643798828,0.000904419435410629,1.8612725734710693,1.9944473505020142,5.157297611236572,1.077530860900879,12.333273887634277,119.06263732910156,0.4509388506412506,18230.130859375,1.6330881118774414,13.657121658325195,1.4808341264724731,74923.0,1.8014729022979736,13.340481758117676,1.4559307098388672,6195.8525390625,1.0951564311981201,1.3553253412246704,0.31801047921180725,22.518186569213867,4081956.4322358896
1500,0.0007290883804671466,21.146751403808594,0.5612494349479675,,31.461488723754883,0.0007938447695582991,1.8612595796585083,1.9944461584091187,5.158798694610596,1.0775389671325684,12.45303726196289,120.07075500488281,0.45149320363998413,7151.40087890625,1.7165985107421875,16.105249404907227,1.4140139818191528,5602.61669921875,1.8780564069747925,15.339191436767578,1.438451886177063,13057.8505859375,1.100355625152588,1.3725208044052124,0.31835323572158813,19.19573974609375,3860984.6589231803
2000,0.0004928460693918169,21.239715576171875,0.5674614310264587,,33.269630432128906,0.0006545554738084113,1.8614619970321655,1.9944634437561035,5.159496307373047,1.0774123668670654,12.505548477172852,120.57036590576172,0.4521477222442627,2010.8822021484375,1.7639455795288086,17.538917541503906,1.3847850561141968,2354591.5,1.9473038911819458,17.1256046295166,1.435786485671997,19779.50390625,1.1040958166122437,1.3856323957443237,0.32342109084129333,16.94059944152832,3840326.8229146604
2500,0.0002378167846472934,21.31268310546875,0.5679603219032288,,36.327613830566406,0.0005001861549145554,1.8615243434906006,1.9944689273834229,5.159852981567383,1.0773732662200928,12.539478302001953,120.87984466552734,0.4524756073951721,4090.90576171875,1.7803374528884888,18.046783447265625,1.3778032064437866,6035.41455078125,1.987268328666687,18.1915225982666,1.4412815570831299,70062.3984375,1.1053671836853027,1.3911796808242798,0.3297731876373291,15.756380081176758,3914027.0905683925
3000,0.00022495599114336073,21.251747131347656,0.5577654838562012,,36.2010383605957,0.00034584755736434975,1.8615217208862305,1.9944686889648438,5.160121917724609,1.0773749351501465,12.56076717376709,121.08930206298828,0.4525927007198334,4418.43603515625,1.786242961883545,18.235694885253906,1.3769803047180176,6302.23046875,2.0112531185150146,18.826744079589844,1.4477031230926514,15609.8505859375,1.1051993370056152,1.3922735452651978,0.3356819748878479,15.057747840881348,4000762.169455503
3500,0.00012236701149959117,21.22211265563965,0.5473256707191467,,39.11418533325195,0.0002066474184262493,1.8615368604660034,1.9944698810577393,5.1602959632873535,1.0773656368255615,12.574370384216309,121.23252868652344,0.45263174176216125,12357.8125,1.786202073097229,18.244983673095703,1.3802546262741089,9739.5546875,2.028456449508667,19.291881561279297,1.4544181823730469,10955.61328125,1.104002833366394,1.3901638984680176,0.3420025408267975,14.633094787597656,4105229.3189678877
4000,0.00010255543020321056,21.137596130371094,0.5337014198303223,,39.89097213745117,9.621161756391294e-05,1.8615168333053589,1.9944682121276855,5.160396099090576,1.0773780345916748,12.58418083190918,121.32540130615234,0.45262035727500916,11021.552734375,1.7846622467041016,18.20496368408203,1.3838099241256714,64642.21484375,2.0412533283233643,19.636152267456055,1.4595119953155518,19435.552734375,1.1026896238327026,1.3872860670089722,0.3471377193927765,14.404292106628418,4192209.735113797
4500,9.86789382295683e-05,21.097301483154297,0.5275865793228149,,40.05791473388672,2.535038041721489e-05,1.8615037202835083,1.9944672584533691,5.160441875457764,1.0773862600326538,12.587142944335938,121.36434936523438,0.4526391625404358,17159.439453125,1.7841423749923706,18.192537307739258,1.3851572275161743,144346.703125,2.046454668045044,19.77984619140625,1.4617880582809448,45951.75390625,1.1021066904067993,1.3859961032867432,0.3494288921356201,14.306934356689453,4230788.118883947
4999,9.799297549761832e-05,21.0897216796875,0.5264633297920227,,40.08805847167969,1e-06,1.86150062084198,1.994466781616211,5.160451889038086,1.0773881673812866,12.587898254394531,121.37274169921875,0.45263785123825073,21588.42578125,1.7840584516525269,18.190677642822266,1.3853929042816162,139917.453125,2.0473852157592773,19.80579948425293,1.4622242450714111,24545.0859375,1.1020026206970215,1.3857682943344116,0.3498563766479492,14.288549423217773,4237944.850035974
