epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,11.209545135498047,0.02853236347436905,,11.32156753540039,0.0
500,23.993425369262695,0.5252298712730408,,26.150056838989258,0.0
1000,24.30494499206543,0.5579651594161987,,27.12157440185547,0.0
1500,24.354084014892578,0.5578132271766663,,27.937702178955078,0.0
2000,23.642568588256836,0.5284045338630676,,26.73305892944336,0.0
2500,24.056102752685547,0.5485286116600037,,27.10660743713379,0.0
3000,25.086944580078125,0.6091961860656738,,28.916282653808594,0.0
3500,26.25897216796875,0.6656157374382019,,33.32808303833008,0.0
3999,25.84256362915039,0.6394173502922058,,36.640323638916016,0.0
