epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,14.001616477966309,0.6017627120018005,,14.124124526977539,0.0
500,17.881187438964844,0.6673999428749084,,18.19036865234375,0.0
1000,19.692520141601562,0.7027036547660828,,20.155960083007812,0.0
1500,21.028337478637695,0.7240447402000427,,21.689546585083008,0.0
2000,21.97517204284668,0.7364576458930969,,22.841949462890625,0.0
2500,22.527233123779297,0.7463682293891907,,23.532062530517578,0.0
2999,22.627166748046875,0.7470496296882629,,23.66018295288086,0.0
