epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,5.9859161376953125,0.014078465290367603,,6.079689979553223,0.0
500,18.112712860107422,0.436380535364151,,20.385629653930664,0.0
1000,19.723295211791992,0.5135310292243958,,22.98658561706543,0.0
1500,20.291675567626953,0.569936215877533,,21.763193130493164,0.0
2000,20.501134872436523,0.5820245146751404,,24.133235931396484,0.0
2500,20.955392837524414,0.6044178605079651,,28.51498031616211,0.0
3000,21.678260803222656,0.6203954815864563,,32.19894790649414,0.0
3500,21.85920524597168,0.6112344264984131,,36.285118103027344,0.0
4000,21.648942947387695,0.5832563042640686,,39.08202362060547,0.0
4500,21.462757110595703,0.5625234246253967,,39.93330383300781,0.0
4999,21.416913986206055,0.5577688813209534,,40.06504821777344,0.0
