epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,6.136534214019775,0.013759627006947994,,6.233222961425781,0.0
500,20.866010665893555,0.48250913619995117,,24.26967430114746,0.0
1000,20.29484748840332,0.47729408740997314,,25.14651107788086,0.0
1500,20.759910583496094,0.5009250640869141,,24.89487648010254,0.0
2000,19.797616958618164,0.4580165445804596,,24.338647842407227,0.0
2500,21.00477409362793,0.516178548336029,,23.954971313476562,0.0
3000,21.644899368286133,0.5565854907035828,,27.597902297973633,0.0
3500,22.15814971923828,0.5705462098121643,,32.624908447265625,0.0
3999,21.917335510253906,0.5305749773979187,,38.66834259033203,0.0
