epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.4378071427345276,3.6719706058502197,-0.03011440485715866,,3.686544418334961,0.0009999999014026553,1.8604724407196045,1.9943782091140747,5.159464359283447,1.0780316591262817,66.24285888671875,173.18283081054688,0.08341893553733826,11682.46484375,6.279758930206299,122.17578887939453,0.2733866274356842,2654.066650390625,5.588127136230469,113.96092224121094,0.28696051239967346,67616.109375,2.1121950149536133,2.8757622241973877,0.048218391835689545,1.3679368495941162,inf
500,0.0005021104589104652,26.123563766479492,0.5843722224235535,,33.30359649658203,0.0009754556526527767,1.8637667894363403,1.994659423828125,5.151824951171875,1.0759739875793457,15.317914962768555,148.81040954589844,0.36045461893081665,934.2365112304688,1.4383465051651,8.245551109313965,1.664425015449524,4441.7783203125,1.7691248655319214,14.244693756103516,1.12507963180542,14947.98828125,1.0514318943023682,1.2398972511291504,0.23384471237659454,11.828451156616211,inf
1000,0.00012893549865111709,27.066341400146484,0.6665499806404114,,39.22199630737305,0.000904419435410629,1.8637443780899048,1.9946573972702026,5.151993274688721,1.0759879350662231,15.399304389953613,149.291015625,0.35975366830825806,718453.25,1.4524452686309814,8.604413986206055,1.6484299898147583,9500.767578125,1.7826168537139893,14.634573936462402,1.122650384902954,8239.8388671875,1.0659466981887817,1.3023887872695923,0.22303184866905212,8.416557312011719,inf
1500,0.00024397840024903417,26.96384048461914,0.6570792198181152,,36.52094268798828,0.0007938447695582991,1.8637409210205078,1.994657278060913,5.152091979980469,1.075990080833435,15.460553169250488,149.63238525390625,0.359374076128006,3983.86328125,1.4642534255981445,8.900310516357422,1.6377094984054565,62123.234375,1.8026552200317383,15.167302131652832,1.123396396636963,55017.6484375,1.0752507448196411,1.3410781621932983,0.22239214181900024,7.192399024963379,inf
2000,5.675284774042666e-05,27.18364906311035,0.6755364537239075,,42.5147819519043,0.0006545554738084113,1.8636773824691772,1.9946517944335938,5.1521501541137695,1.076029658317566,15.500165939331055,149.83116149902344,0.358980655670166,25119.626953125,1.47313392162323,9.124319076538086,1.6275895833969116,29492.80078125,1.819093942642212,15.608362197875977,1.122069001197815,52699904.0,1.0835657119750977,1.3737775087356567,0.22118984162807465,6.51273250579834,inf
2500,3.651932274806313e-05,27.170238494873047,0.6678056716918945,,44.39443588256836,0.0005001861549145554,1.8636738061904907,1.9946515560150146,5.1521382331848145,1.0760318040847778,15.526366233825684,149.95187377929688,0.35881462693214417,39548.1171875,1.4785456657409668,9.261341094970703,1.6221308708190918,12059.84375,1.833551287651062,15.999302864074707,1.1227390766143799,22394.875,1.0878649950027466,1.3905102014541626,0.2224131077528,6.205669403076172,inf
3000,2.9510858439607546e-05,27.074085235595703,0.6526889801025391,,45.02642822265625,0.00034584755736434975,1.8636749982833862,1.9946515560150146,5.152131080627441,1.076030969619751,15.55167007446289,150.06109619140625,0.35866495966911316,2535.822998046875,1.4814183712005615,9.334492683410645,1.6201493740081787,5498.1162109375,1.8438599109649658,16.290618896484375,1.1251206398010254,21461.853515625,1.089499592781067,1.397024393081665,0.22461862862110138,6.076385021209717,inf
3500,2.5533259758958593e-05,26.93320083618164,0.6328738331794739,,45.808082580566406,0.0002066474184262493,1.8636714220046997,1.9946513175964355,5.152130603790283,1.0760332345962524,15.56621265411377,150.11521911621094,0.3584791421890259,2011.746337890625,1.4827073812484741,9.368084907531738,1.6203521490097046,5514.16748046875,1.8516541719436646,16.517107009887695,1.128312110900879,58925.49609375,1.0899995565414429,1.399254560470581,0.22693943977355957,6.012655258178711,inf
4000,2.1276930056046695e-05,26.801069259643555,0.6150544285774231,,46.72145080566406,9.621161756391294e-05,1.8636736869812012,1.9946515560150146,5.1521220207214355,1.0760319232940674,15.578337669372559,150.15415954589844,0.3584197759628296,2769.633544921875,1.4832631349563599,9.38305950164795,1.6210086345672607,5913.84423828125,1.8575700521469116,16.683826446533203,1.1310667991638184,97955.5546875,1.0899351835250854,1.3993030786514282,0.22886788845062256,5.985762596130371,inf
4500,2.0468425645958632e-05,26.742284774780273,0.6073417067527771,,46.88932418823242,2.535038041721489e-05,1.8636736869812012,1.9946515560150146,5.152123928070068,1.0760319232940674,15.58228874206543,150.16932678222656,0.3583948612213135,3404.576904296875,1.483482837677002,9.389115333557129,1.6213269233703613,5778.84033203125,1.8600544929504395,16.753782272338867,1.1322959661483765,47364.87109375,1.089931845664978,1.3994266986846924,0.2297070026397705,5.971677780151367,inf
4999,2.03193849301897e-05,26.731067657470703,0.6058826446533203,,46.92090606689453,1e-06,1.8636736869812012,1.9946515560150146,5.152123928070068,1.076032042503357,15.582672119140625,150.17176818847656,0.358395516872406,3549.931640625,1.483519434928894,9.390157699584961,1.6213916540145874,5724.8857421875,1.8605293035507202,16.767135620117188,1.1325269937515259,43726.86328125,1.0899333953857422,1.399458885192871,0.22986651957035065,5.968837261199951,inf
