epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate_muon,learning_rate_aux,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.4170575439929962,5.828981399536133,0.01630781590938568,,5.859140872955322,0.002999999704010574,0.02999999703921747,1.8978840112686157,1.9971058368682861,7.27543306350708,1.0553338527679443,77.87140655517578,182.55279541015625,1.1333316564559937,982.7838745117188,76.50712585449219,182.2017059326172,1.145245909690857,83721.2578125,75.46319580078125,181.28793334960938,1.1523330211639404,680.4506225585938,1.72993803024292,2.645928144454956,0.8674289584159851,1.690550446510315,1510241.9341699919
500,0.0005285126389935613,27.055835723876953,0.77286297082901,,33.371368408203125,0.0029263178201258035,0.02926295708101175,1.9484068155288696,1.9992990493774414,7.71099328994751,1.0268397331237793,78.36041259765625,182.04617309570312,1.1455960273742676,429.839599609375,75.50128173828125,181.15745544433594,1.1326286792755127,520.7077026367188,57.686492919921875,168.00933837890625,1.1497501134872437,1883.338623046875,1.212024211883545,1.7529942989349365,0.6130363941192627,4.373836040496826,1128337.6509675412
1000,0.0005382684175856411,27.335304260253906,0.8048858642578125,,32.45694351196289,0.0027130669537502256,0.027129808451334846,1.949414610862732,1.9993267059326172,7.769643783569336,1.0262945890426636,78.05094146728516,181.82156372070312,1.1511555910110474,4691.716796875,73.98883819580078,180.4507598876953,1.1269700527191162,2076.025390625,56.82489013671875,163.92189025878906,1.1794105768203735,2162.58154296875,1.2404662370681763,1.845212459564209,0.6308695077896118,3.6312596797943115,1199974.5865037192
1500,0.0003189078997820616,27.44469451904297,0.813404381275177,,35.4972038269043,0.002381121585490829,0.023809358600580043,1.94888174533844,1.9993120431900024,7.828464984893799,1.0265827178955078,77.38582611083984,181.472412109375,1.1594010591506958,1206.2957763671875,73.38335418701172,179.75128173828125,1.1250170469284058,1487.7943115234375,56.30815124511719,161.29397583007812,1.2094937562942505,4916.85400390625,1.2349926233291626,1.832557201385498,0.6642027497291565,3.6543827056884766,1312483.0154082344
2000,0.0003081998147536069,26.681598663330078,0.804325520992279,,33.56324005126953,0.0019629748407922155,0.01962663629507368,1.9486161470413208,1.9993046522140503,7.87182092666626,1.0267263650894165,77.31744384765625,181.2396240234375,1.1636284589767456,4316.84228515625,73.5938720703125,179.11351013183594,1.1246124505996704,2542.81005859375,55.80110168457031,159.50128173828125,1.2467069625854492,2197.470947265625,1.21922767162323,1.790352463722229,0.7079334259033203,3.8363828659057617,1454685.8473545217
2500,0.0001655640226090327,27.93683624267578,0.8116243481636047,,37.336307525634766,0.0014995578364251723,0.014991075536818636,1.9472944736480713,1.9992674589157104,7.901523590087891,1.027442455291748,76.37113189697266,181.0646209716797,1.1738650798797607,2963.19677734375,73.21685791015625,178.824462890625,1.1316927671432495,620.2575073242188,55.1397590637207,158.36459350585938,1.2933101654052734,1076.1348876953125,1.2047128677368164,1.7512030601501465,0.7602646946907043,4.001013278961182,1651372.5513667788
3000,6.458102143369615e-05,28.02477264404297,0.8068767189979553,,41.94226837158203,0.0010362330575932738,0.010356437310683876,1.946197509765625,1.99923574924469,7.9117608070373535,1.0280379056930542,76.05867004394531,180.97665405273438,1.1772241592407227,2890.6630859375,72.87469482421875,178.53111267089844,1.138851284980774,449.2267150878906,54.78092575073242,157.32989501953125,1.3439818620681763,607.8547973632812,1.183892011642456,1.693220615386963,0.831594705581665,4.262581825256348,1896812.649941593
3500,3.179959821864031e-05,27.87163543701172,0.7965028882026672,,44.973793029785156,0.000618353961822141,0.00617639229766675,1.9461524486541748,1.9992344379425049,7.911152362823486,1.028062343597412,76.20894622802734,181.0109100341797,1.1771070957183838,3174.794921875,72.80388641357422,178.38848876953125,1.1432892084121704,8882.189453125,54.59120178222656,156.64599609375,1.3848950862884521,657.7788696289062,1.1761871576309204,1.670615315437317,0.8780621886253357,4.38762092590332,2071447.65611735
4000,2.057648634945508e-05,27.818328857421875,0.7830438613891602,,46.864768981933594,0.0002868254665407142,0.0028601124277275675,1.9461801052093506,1.9992352724075317,7.910501956939697,1.0280473232269287,76.21327209472656,181.02378845214844,1.1783157587051392,1807.6844482421875,72.47539520263672,178.2760772705078,1.1496803760528564,19610.650390625,54.28702163696289,155.99630737304688,1.4211938381195068,799.7752075195312,1.1719480752944946,1.6580806970596313,0.9073048233985901,4.458419322967529,2210901.349931495
4500,1.766977584338747e-05,27.749645233154297,0.7727978229522705,,47.52706527709961,7.409989076198911e-05,0.00073221828041645,1.9462512731552124,1.9992374181747437,7.910043716430664,1.0280085802078247,76.18540954589844,181.0395050048828,1.179445743560791,3271.8037109375,72.30731964111328,178.17852783203125,1.1538139581680298,7863.2998046875,54.071109771728516,155.5151824951172,1.4455405473709106,2567.877197265625,1.169327974319458,1.6504769325256348,0.9239709973335266,4.496387958526611,2300388.7748579336
4999,1.715556027193088e-05,27.73135757446289,0.7701846957206726,,47.65596389770508,1e-06,1e-06,1.9462590217590332,1.9992376565933228,7.90995454788208,1.0280044078826904,76.13245391845703,181.0406951904297,1.1801860332489014,23908.220703125,72.27574157714844,178.15379333496094,1.1549479961395264,11454.873046875,54.047515869140625,155.45269775390625,1.4504590034484863,2584.996337890625,1.1687989234924316,1.6489403247833252,0.9275409579277039,4.504005432128906,2320841.198761087
