epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,13.525373458862305,0.3606538474559784,,13.955341339111328,0.0
500,20.415685653686523,0.46316638588905334,,23.098709106445312,0.0
1000,20.99951171875,0.4682025909423828,,24.248027801513672,0.0
1500,21.298770904541016,0.4701147973537445,,24.938068389892578,0.0
2000,21.503847122192383,0.47380325198173523,,25.422569274902344,0.0
2500,21.611270904541016,0.4759275019168854,,25.68956184387207,0.0
2999,21.63017463684082,0.476322203874588,,25.738737106323242,0.0
