epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate_muon,learning_rate_aux,auto_cos_inc/current_rank,auto_cos_inc/current_target_rank,auto_cos_inc/rank_floor,auto_cos_inc/rank_start,auto_cos_inc/rank_end,auto_cos_inc/rank_warmup_steps,auto_cos_inc/auto_rank_start_final,auto_cos_inc/current_method,rank_wsd_phase,rank_wsd_phase_name,rank_wsd_lr_ratio,rank_wsd_N_rand,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.13022403419017792,9.493304252624512,0.18130910396575928,,9.659489631652832,0.003,0.03,100,250,100,100,250,2666,,cosine_inc_closed_form,0,stable,1.0,1,1.8571640253067017,1.99408757686615,5.176130771636963,1.0801101922988892,76.44416809082031,182.23422241210938,0.07017617672681808,525.0577392578125,77.21296691894531,182.43174743652344,0.06978859752416611,299.6191711425781,77.76227569580078,181.7096710205078,0.06918389350175858,1180.8826904296875,1.0031960010528564,1.0239851474761963,0.9033966064453125,25.514678955078125,inf
500,0.0059169284068048,19.696718215942383,0.2961829900741577,,22.251483917236328,0.003,0.03,113,250,100,100,250,2666,,cosine_inc_closed_form,0,stable,1.0,1,1.9028428792953491,1.9973934888839722,6.479937553405762,1.0524317026138306,64.33036041259766,155.17474365234375,0.3703854978084564,1665.580322265625,29.228879928588867,146.33905029296875,0.8544290661811829,1104.814453125,32.62348556518555,127.7748031616211,1.0276737213134766,68292.9140625,1.1041160821914673,1.3670198917388916,0.2864314913749695,177.17742919921875,inf
1000,0.0024609386455267668,21.60980987548828,0.4082588851451874,,25.861526489257812,0.003,0.03,146,250,100,100,250,2666,,cosine_inc_closed_form,0,stable,1.0,1,1.9030026197433472,1.9974024295806885,6.477080345153809,1.0523386001586914,60.996395111083984,157.07749938964844,0.37844139337539673,782.5537109375,36.08974075317383,159.7284698486328,0.899121880531311,1623.5225830078125,39.628326416015625,148.29078674316406,1.0700370073318481,142692.90625,1.1788872480392456,1.5322703123092651,0.33285486698150635,81.5456314086914,inf
1500,0.002148988889530301,21.980247497558594,0.4463774263858795,,26.695899963378906,0.003,0.03,190,250,100,100,250,2666,,cosine_inc_closed_form,0,stable,1.0,1,1.9029213190078735,1.9973978996276855,6.474428176879883,1.052385926246643,55.86581802368164,157.45245361328125,0.40078356862068176,10231.26953125,44.86958694458008,167.9036407470703,0.9639552235603333,846.2315673828125,48.71671676635742,161.07077026367188,1.1223881244659424,377650.5,1.1942166090011597,1.5602538585662842,0.3341798186302185,91.37088775634766,inf
2000,0.0032848746050149202,21.169696807861328,0.42490658164024353,,24.661598205566406,0.003,0.03,228,250,100,100,250,2666,,cosine_inc_closed_form,0,stable,1.0,1,1.903976559638977,1.9974570274353027,6.458934783935547,1.0517715215682983,54.79732131958008,152.5963592529297,0.4991806149482727,842.0216064453125,53.767234802246094,172.6127471923828,1.049129843711853,4682.77734375,57.72063064575195,167.58241271972656,1.1868832111358643,9618.0029296875,1.1706600189208984,1.5184177160263062,0.3417322337627411,50.76811218261719,inf
2500,0.02946934476494789,14.728168487548828,0.3713008463382721,,15.306452751159668,0.003,0.03,249,250,100,100,250,2666,,cosine_inc_closed_form,0,stable,1.0,1,1.6688542366027832,1.96075439453125,25.44375991821289,1.2227404117584229,69.86849975585938,175.84725952148438,0.7005741596221924,512.0375366210938,64.32424926757812,176.9629669189453,1.1268218755722046,1105.4964599609375,63.51243591308594,172.54476928710938,1.286089539527893,11842.763671875,1.025147795677185,1.1221541166305542,0.21793539822101593,366.0802001953125,inf
3000,0.029459580779075623,14.728900909423828,0.37299370765686035,,15.306839942932129,0.0023234808702175544,0.023234808702175543,250,250,100,100,250,2666,,cosine_inc_closed_form,1,linear_decay,0.7744936234058515,1,1.6680549383163452,1.9605274200439453,37.97124099731445,1.223471760749817,71.45909118652344,179.2312469482422,0.8817588090896606,2349.2197265625,71.18238830566406,178.4000701904297,1.2030243873596191,1453.517333984375,66.77655029296875,175.17881774902344,1.388564109802246,5887.86767578125,1.0405694246292114,1.1791331768035889,0.14328989386558533,375.21923828125,inf
3500,0.029458746314048767,14.730076789855957,0.3760240077972412,,15.308084487915039,0.0013107276819204802,0.0131072768192048,250,250,100,100,250,2666,,cosine_inc_closed_form,1,linear_decay,0.4369092273068267,1,1.6647801399230957,1.9595893621444702,39.38441467285156,1.2264814376831055,73.22003936767578,179.91583251953125,0.9429624676704407,4559.5966796875,72.31340789794922,178.6923370361328,1.247741937637329,2532.345458984375,68.13346862792969,176.41213989257812,1.4272825717926025,85465.6171875,1.0092447996139526,1.0535908937454224,0.09279483556747437,275.4556884765625,inf
3999,0.029448458924889565,14.731119155883789,0.3782052993774414,,15.30958080291748,0.0002999999999999999,0.002999999999999999,250,250,100,100,250,2666,,cosine_inc_closed_form,1,linear_decay,0.09999999999999998,1,1.6725475788116455,1.961790919303894,39.63938522338867,1.2193783521652222,73.12133026123047,179.99658203125,0.9588009119033813,9340.2421875,72.4064712524414,178.84007263183594,1.2595738172531128,1824.40380859375,68.46692657470703,176.4323272705078,1.4363954067230225,20089.306640625,1.0002576112747192,1.0024075508117676,0.08485297858715057,532.6375732421875,inf
