epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,9.493304252624512,0.18130910396575928,,9.659489631652832,0.0
500,19.247102737426758,0.2940683364868164,,21.69965362548828,0.0
1000,21.332866668701172,0.39272603392601013,,25.296062469482422,0.0
1500,21.981904983520508,0.4280799627304077,,26.97420310974121,0.0
2000,22.315397262573242,0.4456739127635956,,28.111404418945312,0.0
2500,22.480453491210938,0.4441225826740265,,29.44683265686035,0.0
3000,22.486228942871094,0.4235478341579437,,31.41155433654785,0.0
3500,22.16646385192871,0.36424872279167175,,36.05633544921875,0.0
3999,22.025043487548828,0.3452061712741852,,39.0556526184082,0.0
