epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,11.01961898803711,0.35316500067710876,,11.17162799835205,0.0
500,16.74372673034668,0.408672571182251,,17.33966636657715,0.0
1000,18.594423294067383,0.432956337928772,,19.550508499145508,0.0
1500,19.358488082885742,0.4540626108646393,,20.58893394470215,0.0
2000,20.033037185668945,0.46966251730918884,,21.347213745117188,0.0
2500,20.83812713623047,0.4894985854625702,,22.626544952392578,0.0
2999,21.36562728881836,0.50401371717453,,23.494070053100586,0.0
