epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,9.48310375213623,0.024741077795624733,,9.531496047973633,0.0
500,25.05174446105957,0.7554376721382141,,28.05748748779297,0.0
1000,26.347896575927734,0.7906806468963623,,28.74184799194336,0.0
1500,27.235939025878906,0.7901238799095154,,29.06591033935547,0.0
2000,27.856380462646484,0.8154144287109375,,29.71578598022461,0.0
2500,26.075841903686523,0.8043997883796692,,28.707252502441406,0.0
3000,25.993501663208008,0.8027167320251465,,28.203105926513672,0.0
3500,27.034395217895508,0.826653778553009,,31.989545822143555,0.0
4000,28.87836456298828,0.8484852313995361,,40.5806770324707,0.0
4500,29.256511688232422,0.8497636914253235,,44.64439392089844,0.0
4999,29.246816635131836,0.8422195911407471,,47.49565124511719,0.0
