epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,13.180349349975586,0.254138320684433,,13.35710334777832,0.0
500,19.816905975341797,0.375316858291626,,20.69872283935547,0.0
1000,21.31812286376953,0.4014928638935089,,22.6131649017334,0.0
1500,21.951499938964844,0.41582560539245605,,23.544639587402344,0.0
2000,22.330162048339844,0.42626476287841797,,24.098501205444336,0.0
2500,22.510665893554688,0.4328267276287079,,24.37380027770996,0.0
2999,22.541770935058594,0.43406054377555847,,24.421733856201172,0.0
