epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,7.013458728790283,0.2838958501815796,,7.12825345993042,0.0
500,21.413768768310547,0.5336477160453796,,27.690515518188477,0.0
1000,21.69011116027832,0.5552744269371033,,29.253461837768555,0.0
1500,21.750581741333008,0.5617560744285583,,30.581905364990234,0.0
2000,22.169673919677734,0.58127760887146,,32.46819305419922,0.0
2500,22.224435806274414,0.5819451808929443,,35.54436111450195,0.0
3000,22.234554290771484,0.571635901927948,,39.040618896484375,0.0
3500,22.156036376953125,0.5540929436683655,,41.850677490234375,0.0
3999,22.12582015991211,0.5483866333961487,,42.34459686279297,0.0
