epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate_muon,learning_rate_aux,rank_wsd_phase,rank_wsd_phase_name,rank_wsd_lr_ratio,rank_wsd_N_rand,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.19250641763210297,9.201464653015137,0.021213823929429054,,9.412103652954102,0.003,0.03,0,stable,1.0,1,1.89066481590271,1.9966566562652588,7.295135974884033,1.05960214138031,77.90028381347656,182.5557403564453,1.1331443786621094,986.1309204101562,76.52499389648438,182.21092224121094,1.145107626914978,8371.1787109375,75.46045684814453,181.28939819335938,1.152467966079712,688.046875,1.7423408031463623,2.6547062397003174,0.7575603723526001,1.7055134773254395,1322303.1764571702
500,0.003168162191286683,20.63082504272461,0.39538440108299255,,26.086885452270508,0.003,0.03,0,stable,1.0,1,1.930332064628601,1.9986977577209473,7.904506683349609,1.0367666482925415,75.271484375,181.77667236328125,1.1715317964553833,500.8643493652344,73.63536071777344,180.29251098632812,1.1465258598327637,629.3663330078125,67.81700134277344,174.39295959472656,1.1917253732681274,464.88555908203125,1.4233864545822144,2.0545382499694824,0.7226046323776245,4.368216037750244,1462883.0773545902
1000,0.0023690355010330677,20.79132843017578,0.40667998790740967,,26.413347244262695,0.003,0.03,0,stable,1.0,1,1.925376534461975,1.9984980821609497,8.137900352478027,1.0395389795303345,73.78799438476562,180.8732147216797,1.1881847381591797,546.209228515625,74.0390396118164,179.74252319335938,1.140054702758789,10297.2421875,66.80157470703125,169.51560974121094,1.3227312564849854,1010.3641357421875,1.352556824684143,1.9622079133987427,0.8656354546546936,4.685244560241699,2019522.343850643
1500,0.0015795390354469419,21.455801010131836,0.45552802085876465,,28.5601806640625,0.002322972972972973,0.02322972972972973,1,linear_decay,0.7743243243243243,1,1.9219821691513062,1.9983524084091187,8.299575805664062,1.0414507389068604,72.8228530883789,179.93927001953125,1.2056668996810913,424.224365234375,73.40937805175781,178.9694061279297,1.1511049270629883,2476.207275390625,63.227542877197266,165.9484405517578,1.4686352014541626,1990.17138671875,1.2661014795303345,1.8092998266220093,1.0860849618911743,5.506417274475098,2939651.6095730723
1999,0.0003107460215687752,21.729774475097656,0.474901407957077,,35.08000183105469,0.0002999999999999999,0.002999999999999999,1,linear_decay,0.09999999999999998,1,1.9212108850479126,1.9983184337615967,8.311188697814941,1.0418866872787476,72.54312896728516,179.89901733398438,1.2172420024871826,553.4686279296875,72.91800689697266,178.9730682373047,1.1817528009414673,2714.52587890625,63.53659439086914,166.09268188476562,1.6118578910827637,1356.496826171875,1.1700807809829712,1.584816813468933,1.644973635673523,7.83421516418457,5071919.909816671
