Epoch,stable_rank_layer_0,effective_rank_layer_0,spectral_norm_layer_0,condition_number_layer_0,stable_rank_layer_1,effective_rank_layer_1,spectral_norm_layer_1,condition_number_layer_1,stable_rank_layer_2,effective_rank_layer_2,spectral_norm_layer_2,condition_number_layer_2,stable_rank_layer_3,effective_rank_layer_3,spectral_norm_layer_3,condition_number_layer_3,stable_rank_layer_4,effective_rank_layer_4,spectral_norm_layer_4,condition_number_layer_4,end_to_end_bound
0,1.8899614810943604,1.9966111183166504,7.3163161277771,1.0600208044052124,77.87673950195312,182.5536651611328,1.1332950592041016,1020.080078125,76.5308837890625,182.20849609375,1.1450875997543335,3664.4091796875,75.492919921875,181.2832794189453,1.1517127752304077,611.8665161132812,1.8419264554977417,2.731421947479248,0.9162188768386841,1.6069846153259277,10.018843415128899
500,1.8375569581985474,1.9921903610229492,20.52141761779785,1.0926796197891235,62.074462890625,166.5160675048828,1.5812348127365112,2863.93359375,60.90117263793945,165.6293182373047,1.5901060104370117,1175.316650390625,61.3172607421875,170.10719299316406,1.48597252368927,996.0621948242188,1.088344693183899,1.3708336353302002,9.62123966217041,8.794837951660156,737.6861285710239
1000,1.8381381034851074,1.992250919342041,22.0560245513916,1.0923006534576416,49.28096389770508,146.85247802734375,2.2785556316375732,2074.901611328125,50.832786560058594,146.63897705078125,2.2086641788482666,1396.5030517578125,51.912044525146484,148.6417694091797,1.9466768503189087,885.806884765625,1.0700362920761108,1.3139196634292603,11.470989227294922,8.795693397521973,2478.627688686042
1500,1.837700366973877,1.992205262184143,22.697216033935547,1.0925859212875366,48.73561096191406,140.74575805664062,2.706883430480957,3467.110595703125,47.5740966796875,140.2301483154297,2.6849026679992676,535.5234375,45.29685592651367,135.96420288085938,2.35760235786438,2117.947998046875,1.0579662322998047,1.2733218669891357,12.593396186828613,8.74718952178955,4897.609053386007
2000,1.8371132612228394,1.9921435117721558,23.01897621154785,1.0929690599441528,49.92597198486328,140.77000427246094,2.9537723064422607,1152.449951171875,47.14738082885742,139.3606414794922,2.9717087745666504,1771.2496337890625,42.27722930908203,129.52920532226562,2.6282618045806885,9824.109375,1.0504182577133179,1.2459274530410767,13.681644439697266,8.802471160888672,7265.678696060791
2500,1.8380576372146606,1.992242455482483,23.15134048461914,1.092353105545044,50.8114013671875,141.46482849121094,3.0586600303649902,531.8956298828125,47.5068359375,139.4866943359375,3.0929524898529053,1166.330810546875,41.66676712036133,126.79351043701172,2.75105357170105,3396.23876953125,1.0473237037658691,1.2344669103622437,14.351762771606445,8.774717330932617,8647.386961113294
2999,1.8383082151412964,1.9922685623168945,23.173809051513672,1.0921897888183594,50.99483108520508,141.6125030517578,3.0761685371398926,676.0667114257812,47.64046859741211,139.51675415039062,3.1127877235412598,1242.7843017578125,41.62055587768555,126.3613510131836,2.7729551792144775,3186.06884765625,1.0467644929885864,1.2323626279830933,14.486122131347656,8.77048397064209,8913.5775503933
