epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,4.551077842712402,0.16273291409015656,,4.577016353607178,0.0
500,24.760351181030273,0.5833520293235779,,28.543920516967773,0.0
1000,25.047523498535156,0.5954141616821289,,29.130626678466797,0.0
1500,24.68962860107422,0.5882460474967957,,28.626087188720703,0.0
2000,24.43424415588379,0.578512966632843,,27.988262176513672,0.0
2500,24.301422119140625,0.5698888897895813,,27.888219833374023,0.0
3000,24.802001953125,0.6087471842765808,,29.0939998626709,0.0
3500,26.50404930114746,0.6826369762420654,,33.96267318725586,0.0
3999,26.39457893371582,0.6634733080863953,,41.721187591552734,0.0
