epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate_muon,learning_rate_aux,rank_wsd_phase,rank_wsd_phase_name,rank_wsd_lr_ratio,rank_wsd_N_rand,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.10259110480546951,13.525373458862305,0.3606538474559784,,13.955341339111328,0.003,0.03,0,stable,1.0,1,1.8688801527023315,1.9950796365737915,7.337924957275391,1.072803258895874,77.88508605957031,182.5538330078125,1.1332331895828247,1063.6549072265625,76.5212631225586,182.21075439453125,1.1451644897460938,8676.7158203125,75.47128295898438,181.2832794189453,1.1518781185150146,617.9815673828125,1.8438125848770142,2.732680082321167,0.9155458807945251,1.6056042909622192,10.042620822274996
500,0.005129446741193533,20.375568389892578,0.46119657158851624,,23.027612686157227,0.003,0.03,0,stable,1.0,1,1.5602213144302368,1.921062707901001,15.905834197998047,1.3360421657562256,55.9830207824707,165.8842010498047,1.556419014930725,3075.3056640625,55.980735778808594,165.16470336914062,1.5469038486480713,2368.72021484375,54.12358474731445,170.16390991210938,1.4762451648712158,552.870361328125,1.1807777881622314,1.6297874450683594,6.382206439971924,6.417459964752197,360.8075652491913
1000,0.003823743900284171,20.976703643798828,0.46683943271636963,,24.21535301208496,0.003,0.03,0,stable,1.0,1,1.5770230293273926,1.9284838438034058,17.650760650634766,1.316447138786316,37.20767593383789,138.12588500976562,2.3205220699310303,1873.869873046875,39.3194580078125,138.82864379882812,2.247743844985962,3250.453857421875,34.4696044921875,148.32174682617188,2.0475668907165527,2451.0078125,1.199678897857666,1.6762197017669678,7.121096611022949,6.057027816772461,1342.3968437686192
1500,0.0033222439233213663,21.230318069458008,0.46904146671295166,,24.762496948242188,0.003,0.03,0,stable,1.0,1,1.5908043384552002,1.9341922998428345,18.782909393310547,1.3010025024414062,31.075090408325195,124.29491424560547,2.906039237976074,3022.193603515625,35.27250289916992,126.00238037109375,2.779047727584839,1082.641845703125,28.888233184814453,133.17498779296875,2.437523126602173,6266.0390625,1.1802783012390137,1.6286389827728271,7.523068904876709,6.422149181365967,2781.660524796984
2000,0.0030041637364774942,21.43417739868164,0.4729912281036377,,25.209583282470703,0.003,0.03,1,linear_decay,1.0,1,1.5989830493927002,1.937425136566162,19.726266860961914,1.2920899391174316,29.263504028320312,116.19912719726562,3.3219025135040283,1209.118896484375,34.9813346862793,119.34941101074219,3.1604552268981934,1121.5533447265625,26.824792861938477,123.39459228515625,2.7148146629333496,2108.581787109375,1.2094457149505615,1.686151146888733,7.721473217010498,6.461904048919678,4341.319860678232
2500,0.002548685297369957,21.706130981445312,0.4769209921360016,,25.934621810913086,0.0016486486486486484,0.016486486486486485,1,linear_decay,0.5495495495495495,1,1.6007497310638428,1.9381088018417358,20.449174880981445,1.2901885509490967,28.5089054107666,111.13957214355469,3.6360960006713867,1793.7457275390625,35.471370697021484,114.81759643554688,3.466766595840454,3041.22509765625,25.36124610900879,114.60045623779297,3.0022287368774414,3105.851318359375,1.193975806236267,1.6448078155517578,8.493095397949219,7.073033809661865,6572.725775445254
2999,0.002258731285110116,21.897260665893555,0.4815814793109894,,26.463565826416016,0.0002999999999999999,0.002999999999999999,1,linear_decay,0.09999999999999998,1,1.6002705097198486,1.9379239082336426,20.79879379272461,1.2907034158706665,28.158246994018555,108.93226623535156,3.807809829711914,1301.370849609375,35.438011169433594,112.8416519165039,3.6615824699401855,1831.3289794921875,24.665925979614258,109.31429290771484,3.2109062671661377,9494.37890625,1.1820775270462036,1.6128665208816528,9.22932243347168,7.601749897003174,8593.68966719199
