epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate_muon,learning_rate_aux,rank_wsd_phase,rank_wsd_phase_name,rank_wsd_lr_ratio,rank_wsd_N_rand,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.43268537521362305,6.060962677001953,0.10725738853216171,,6.154592514038086,0.003,0.03,0,stable,1.0,1,1.8454177379608154,1.9929873943328857,5.205366611480713,1.087587833404541,76.24855041503906,182.07891845703125,0.07031534612178802,572.7196044921875,77.21675872802734,182.43115234375,0.06990769505500793,399.0308532714844,77.52460479736328,181.48350524902344,0.06922855973243713,1683.295166015625,1.003196120262146,1.0239859819412231,0.9033270478248596,25.50893783569336,inf
500,0.043337833136320114,13.117801666259766,0.3201760947704315,,13.627933502197266,0.003,0.03,0,stable,1.0,1,1.7577635049819946,1.9810384511947632,7.5315446853637695,1.1487702131271362,87.79312133789062,192.94155883789062,0.5729364156723022,297.68017578125,79.9059829711914,196.6541290283203,0.7071024179458618,840.7190551757812,87.80069732666016,196.07359313964844,0.9613170027732849,10704.0908203125,1.0000596046447754,1.000658392906189,0.5767132043838501,413.91162109375,inf
1000,0.04334116727113724,13.117829322814941,0.3204007148742676,,13.628257751464844,0.003,0.03,0,stable,1.0,1,1.9406286478042603,1.999064326286316,12.541316032409668,1.0310765504837036,80.35485076904297,186.59481811523438,0.7640024423599243,460.91021728515625,79.8120346069336,188.774169921875,0.8560612797737122,648.7130737304688,85.17648315429688,190.60171508789062,1.1086878776550293,307216.34375,1.0000450611114502,1.000508427619934,0.5873048901557922,522.9821166992188,inf
1500,0.04334329441189766,13.119053840637207,0.3227708637714386,,13.630668640136719,0.003,0.03,0,stable,1.0,1,1.8444331884384155,1.9928903579711914,24.241804122924805,1.0882216691970825,79.53175354003906,184.0047607421875,0.9039843678474426,1205.28271484375,78.29608917236328,185.7669677734375,0.992507815361023,1240.7979736328125,83.36531066894531,187.37989807128906,1.2337669134140015,5796.55078125,1.0000309944152832,1.000359296798706,0.6119431853294373,779.6106567382812,inf
2000,0.04334831237792969,13.119593620300293,0.3242890536785126,,13.631895065307617,0.003,0.03,0,stable,1.0,1,1.8275755643844604,1.991105318069458,33.64723205566406,1.099249243736267,79.39743041992188,183.5161590576172,1.0247882604599,13997.4443359375,76.8294677734375,184.24197387695312,1.1162240505218506,3175.095703125,82.89933776855469,185.47488403320312,1.3382033109664917,4769.61767578125,1.0000213384628296,1.0002543926239014,0.6426607966423035,1017.8587036132812,inf
2500,0.04333588108420372,13.117743492126465,0.32011982798576355,,13.627824783325195,0.003,0.03,0,stable,1.0,1,1.9639475345611572,1.99966299533844,37.90900421142578,1.018528699874878,78.26114654541016,183.66314697265625,1.1417125463485718,587.044677734375,79.19610595703125,183.857666015625,1.2026011943817139,1510.958984375,79.86695098876953,183.8065643310547,1.4539200067520142,16151.662109375,1.0000154972076416,1.000191569328308,0.6593235731124878,971.3807983398438,inf
3000,0.043343283236026764,13.119186401367188,0.322811484336853,,13.630341529846191,0.003,0.03,0,stable,1.0,1,1.985154390335083,1.9999440908432007,43.9690055847168,1.0075064897537231,77.59339141845703,182.4766387939453,1.248356819152832,673.088134765625,77.48871612548828,183.29367065429688,1.3099459409713745,485.7167663574219,79.1487808227539,182.70579528808594,1.5400171279907227,7929.1748046875,1.0000137090682983,1.0001710653305054,0.634260356426239,945.9385986328125,inf
3500,0.04336085170507431,13.118457794189453,0.3216426968574524,,13.630226135253906,0.0027293517406962787,0.027293517406962786,1,linear_decay,0.9097839135654262,1,1.9433926343917847,1.999151587486267,49.191890716552734,1.0295649766921997,76.3858642578125,182.17652893066406,1.350515365600586,1657.4681396484375,77.25849151611328,183.29464721679688,1.3972461223602295,553.0604858398438,77.83502960205078,182.45863342285156,1.6247625350952148,6667.408203125,1.0000123977661133,1.0001559257507324,0.6018078327178955,907.1592407226562,inf
4000,0.04332967475056648,13.119874000549316,0.3249726891517639,,13.631219863891602,0.001919027611044418,0.01919027611044418,1,linear_decay,0.6396758703481393,1,1.8816945552825928,1.9960484504699707,51.849647521972656,1.0649787187576294,76.44995880126953,182.075439453125,1.406708836555481,4097.2431640625,76.87126159667969,182.66485595703125,1.4535768032073975,9347.9384765625,78.24596405029297,182.1588134765625,1.6639478206634521,3752.10302734375,1.0000118017196655,1.0001492500305176,0.5718515515327454,961.7774047851562,inf
4500,0.04332233592867851,13.121232032775879,0.32863351702690125,,13.633499145507812,0.001108703481392557,0.01108703481392557,1,linear_decay,0.36956782713085234,1,1.8787100315093994,1.9958332777023315,51.99458312988281,1.0667856931686401,76.0750961303711,182.33538818359375,1.433896780014038,605.3207397460938,76.76346588134766,182.61094665527344,1.4762893915176392,64709.89453125,77.54525756835938,182.0690155029297,1.6904194355010986,44490.78125,1.0000081062316895,1.000105381011963,0.5533372163772583,1017.094970703125,inf
