epochs,full_psnr,ssim,lpips,train_psnr,test_psnr
0,9.48316764831543,0.02473018504679203,,9.530718803405762,0.0
500,25.60248374938965,0.77877277135849,,28.16501235961914,0.0
1000,27.05295753479004,0.791540801525116,,28.528806686401367,0.0
1500,25.130321502685547,0.7923987507820129,,28.56503677368164,0.0
2000,26.484481811523438,0.8057992458343506,,29.616716384887695,0.0
2500,29.0056209564209,0.8435575366020203,,41.34523010253906,0.0
2999,29.240772247314453,0.8372480273246765,,46.16448974609375,0.0
