epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate_muon,learning_rate_aux,auto_cos_inc/current_rank,auto_cos_inc/current_target_rank,auto_cos_inc/rank_floor,auto_cos_inc/rank_start,auto_cos_inc/rank_end,auto_cos_inc/rank_warmup_steps,auto_cos_inc/auto_rank_start_final,auto_cos_inc/current_method,rank_wsd_phase,rank_wsd_phase_name,rank_wsd_lr_ratio,rank_wsd_N_rand,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.2040347009897232,9.48316764831543,0.02473018504679203,,9.530718803405762,0.003,0.03,150,250,100,150,250,2000,,cosine_inc_closed_form,0,stable,1.0,1,1.9067625999450684,1.9976093769073486,7.304179668426514,1.050154447555542,77.89525604248047,182.55096435546875,1.133162260055542,972.2054443359375,76.51639556884766,182.20849609375,1.1451692581176758,9572.9130859375,75.4680404663086,181.28292846679688,1.1522597074508667,697.349365234375,1.719454288482666,2.616194725036621,0.7717801332473755,1.8593641519546509,1348643.562129867
500,0.0015822590794414282,25.60248374938965,0.77877277135849,,28.16501235961914,0.003,0.03,165,250,100,150,250,2000,,cosine_inc_closed_form,0,stable,1.0,1,1.8840574026107788,1.9962141513824463,8.092684745788574,1.0635545253753662,77.76717376708984,182.33538818359375,1.1282258033752441,450.6041564941406,76.27583312988281,181.4464569091797,1.09048330783844,258.3884582519531,62.59646987915039,165.05487060546875,1.0841342210769653,1874.65380859375,1.586188554763794,2.4114840030670166,0.66615891456604,2.438123941421509,1150505.1124411675
1000,0.0016293944790959358,27.05295753479004,0.791540801525116,,28.528806686401367,0.003,0.03,200,250,100,150,250,2000,,cosine_inc_closed_form,0,stable,1.0,1,1.8683005571365356,1.9950329065322876,8.340555191040039,1.073161244392395,77.26248931884766,181.58937072753906,1.1360400915145874,262.0357360839844,74.10147094726562,180.2157440185547,1.088150143623352,491.59130859375,60.680782318115234,160.04571533203125,1.1396327018737793,905.4853515625,1.5380486249923706,2.3429229259490967,0.7036920189857483,2.623352527618408,1322954.6385339084
1500,0.0008851563325151801,25.130321502685547,0.7923987507820129,,28.56503677368164,0.003,0.03,235,250,100,150,250,2000,,cosine_inc_closed_form,0,stable,1.0,1,1.8522733449935913,1.9936426877975464,8.552526473999023,1.0832048654556274,75.6439208984375,180.42442321777344,1.1633758544921875,1789.58837890625,72.46440887451172,178.9071044921875,1.0971266031265259,897.0090942382812,55.19315719604492,154.98123168945312,1.253348708152771,2979.68505859375,1.5215212106704712,2.313884973526001,0.7320098876953125,2.7207131385803223,1602433.6889548723
2000,0.001192834577523172,26.484481811523438,0.8057992458343506,,29.616716384887695,0.003,0.03,250,250,100,150,250,2000,,cosine_inc_closed_form,1,linear_decay,1.0,1,1.8415592908859253,1.9926023483276367,8.75913143157959,1.0900782346725464,73.1847152709961,178.7194366455078,1.215822458267212,3655.86865234375,71.15506744384766,177.0414581298828,1.111054539680481,3976.673828125,49.18767166137695,149.64422607421875,1.3974826335906982,21887.546875,1.5079342126846313,2.298985242843628,0.7556627988815308,2.7439372539520264,1999222.0233363144
2500,7.31837353669107e-05,29.0056209564209,0.8435575366020203,,41.34523010253906,0.0016486486486486484,0.016486486486486485,250,250,100,150,250,2000,,cosine_inc_closed_form,1,linear_decay,0.5495495495495495,1,1.839948296546936,1.9924379587173462,8.775824546813965,1.091123104095459,69.85368347167969,177.12091064453125,1.2691091299057007,306.6424865722656,70.17595672607422,176.08631896972656,1.1364591121673584,527.9219970703125,46.698387145996094,148.31956481933594,1.5309656858444214,17147.0234375,1.4379643201828003,2.1887402534484863,0.8759015202522278,3.0699307918548584,2715697.7661860865
2999,2.4236258468590677e-05,29.240772247314453,0.8372480273246765,,46.16448974609375,0.0002999999999999999,0.002999999999999999,250,250,100,150,250,2000,,cosine_inc_closed_form,1,linear_decay,0.09999999999999998,1,1.8399860858917236,1.9924418926239014,8.771407127380371,1.0910985469818115,69.00080871582031,176.6773223876953,1.2828443050384521,351.1805114746094,70.04777526855469,175.6598663330078,1.1444945335388184,340.2637023925781,47.3769416809082,146.77532958984375,1.5967410802841187,8291.4951171875,1.4182735681533813,2.1529383659362793,0.9314563870429993,3.198683261871338,3064601.0714974087
