epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate_muon,learning_rate_aux,auto_cos_inc/current_rank,auto_cos_inc/current_target_rank,auto_cos_inc/rank_floor,auto_cos_inc/rank_start,auto_cos_inc/rank_end,auto_cos_inc/rank_warmup_steps,auto_cos_inc/auto_rank_start_final,auto_cos_inc/current_method,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.2040347009897232,9.484604835510254,0.024740001186728477,,9.531314849853516,0.00299999953751653,0.029999995373777386,200,250,100,200,250,4000,,cosine_inc_closed_form,1.9067625999450684,1.9976093769073486,7.304179668426514,1.050154447555542,77.89068603515625,182.55149841308594,1.1331971883773804,999.307861328125,76.51313781738281,182.20997619628906,1.1451828479766846,5705.2412109375,75.46617889404297,181.2848358154297,1.152369737625122,654.876953125,1.719454288482666,2.616194725036621,0.7717801332473755,1.8593641519546509,1348829.9259206052
500,0.0022212096955627203,25.402294158935547,0.7685642242431641,,28.035037994384766,0.00288540624375002,0.02885371854159943,202,250,100,200,250,4000,,cosine_inc_closed_form,1.958574891090393,1.999552607536316,7.879427909851074,1.0213791131973267,75.33861541748047,181.76071166992188,1.1496646404266357,673.8551635742188,73.07588195800781,180.50953674316406,1.1174676418304443,30733.087890625,50.408843994140625,160.2590789794922,1.1904798746109009,16997.3984375,1.6519526243209839,2.4788548946380615,0.6485457420349121,2.3068959712982178,1250499.3487007327
1000,0.0015502555761486292,27.51408576965332,0.8051896095275879,,28.664981842041016,0.002559973528578927,0.025598414766201737,207,250,100,200,250,4000,,cosine_inc_closed_form,1.974184513092041,1.9998290538787842,8.015495300292969,1.0131632089614868,75.15381622314453,180.94284057617188,1.15655517578125,512.6741943359375,73.03864288330078,179.42184448242188,1.108938217163086,3215.37841796875,48.80844497680664,155.84523010253906,1.2662369012832642,11380.3056640625,1.5353870391845703,2.3368680477142334,0.7427711486816406,2.647137403488159,1547013.2937343458
1500,0.0003053825639653951,29.061975479125977,0.8252954483032227,,34.93696212768555,0.0020732455728331434,0.020729674537986464,215,250,100,200,250,4000,,cosine_inc_closed_form,1.9794230461120605,1.9998918771743774,8.060708045959473,1.010450005531311,74.94071197509766,180.45205688476562,1.164246678352356,725.2596435546875,73.46766662597656,178.7499542236328,1.1084535121917725,270.3388671875,47.01776885986328,153.46360778808594,1.349191665649414,1400.602783203125,1.4713332653045654,2.245499849319458,0.8265218138694763,2.885784149169922,1856024.2039289023
2000,0.0001294850662816316,29.00482940673828,0.8312271237373352,,39.098941802978516,0.001499322295575062,0.014988719421459214,225,250,100,200,250,4000,,cosine_inc_closed_form,1.979663372039795,1.9998944997787476,8.066824913024902,1.0103261470794678,74.93400573730469,180.28553771972656,1.1680539846420288,750.305419921875,73.62992095947266,178.3007354736328,1.1107149124145508,670.0831909179688,46.62962341308594,151.50807189941406,1.4189608097076416,672189.375,1.4495184421539307,2.2083122730255127,0.8765214085578918,3.0067789554595947,2082672.873004262
2500,5.418069122242741e-05,29.140960693359375,0.8281397819519043,,42.6646728515625,0.0009255783131397608,0.009249557791223603,235,250,100,200,250,4000,,cosine_inc_closed_form,1.9787485599517822,1.9998846054077148,8.06663990020752,1.0107980966567993,74.93755340576172,180.2208251953125,1.1708295345306396,1548.1536865234375,73.37445068359375,177.91058349609375,1.1167131662368774,772.8759155273438,47.61820602416992,149.62025451660156,1.4645276069641113,1275.21142578125,1.4429892301559448,2.1933653354644775,0.9116638898849487,3.074399471282959,2253098.9979968965
3000,2.9493616239051335e-05,29.007131576538086,0.8155312538146973,,45.31450271606445,0.00043936094585086326,0.004385924979853286,243,250,100,200,250,4000,,cosine_inc_closed_form,1.9785397052764893,1.999882459640503,8.065276145935059,1.0109061002731323,75.12431335449219,180.2898406982422,1.1722062826156616,1968.395263671875,72.95441436767578,177.62135314941406,1.1248456239700317,2912.281494140625,48.59745407104492,147.99127197265625,1.5082366466522217,2144.386962890625,1.427942156791687,2.1677472591400146,0.9494389891624451,3.1594414710998535,2436535.5001246105
3500,2.356487857468892e-05,28.92772674560547,0.804152250289917,,46.27667236328125,0.00011469238030669109,0.001138264993938117,248,250,100,200,250,4000,,cosine_inc_closed_form,1.978419303894043,1.9998811483383179,8.06509780883789,1.0109683275222778,75.14635467529297,180.3483123779297,1.1741584539413452,1050.6922607421875,72.63961791992188,177.4596710205078,1.1309880018234253,844.0932006835938,49.0661506652832,146.68878173828125,1.5433858633041382,2079.988037109375,1.4152408838272095,2.1469228267669678,0.9746143221855164,3.2232613563537598,2577636.278417268
3999,2.2673822968499735e-05,28.899593353271484,0.8009477257728577,,46.44476318359375,1e-06,1e-06,250,250,100,200,250,4000,,cosine_inc_closed_form,1.9783954620361328,1.9998807907104492,8.065120697021484,1.010980486869812,75.16854095458984,180.36962890625,1.1746580600738525,833.9172973632812,72.52676391601562,177.42227172851562,1.132994532585144,1561.3404541015625,49.09276580810547,146.4783935546875,1.55186927318573,1714.713134765625,1.4127343893051147,2.142744541168213,0.9799520373344421,3.2362940311431885,2611740.8706126064
