epoch,loss,full_psnr,ssim,lpips,train_psnr,learning_rate,stable_rank/layer_0,effective_rank/layer_0,spectral_norm/layer_0,condition_number/layer_0,stable_rank/layer_1,effective_rank/layer_1,spectral_norm/layer_1,condition_number/layer_1,stable_rank/layer_2,effective_rank/layer_2,spectral_norm/layer_2,condition_number/layer_2,stable_rank/layer_3,effective_rank/layer_3,spectral_norm/layer_3,condition_number/layer_3,stable_rank/layer_4,effective_rank/layer_4,spectral_norm/layer_4,condition_number/layer_4,end_to_end_bound
0,0.13361912965774536,9.005669593811035,0.005985563155263662,,9.072075843811035,0.0009999999014026553,1.8944896459579468,1.996899127960205,7.304825782775879,1.057334303855896,78.12616729736328,182.58596801757812,1.1320124864578247,846.5520629882812,76.63247680664062,182.19207763671875,1.144558310508728,585.5092163085938,75.43848419189453,181.2633819580078,1.1565505266189575,616.1229248046875,2.671732187271118,2.988523006439209,0.6101486086845398,1.105086088180542,1068609.9696725777
500,0.0017761169001460075,18.727886199951172,0.2031356543302536,,27.593429565429688,0.0009754556526527767,1.8926351070404053,1.996782898902893,7.309084415435791,1.0584321022033691,78.92517852783203,182.5626220703125,1.1351333856582642,1102.0350341796875,77.0324935913086,182.41529846191406,1.1439992189407349,838.9696044921875,42.95655059814453,167.63980102539062,1.7485791444778442,1157.217041015625,1.1915841102600098,1.6188302040100098,0.6480010151863098,8.640993118286133,1720745.1961487809
1000,0.0015677850460633636,18.7609920501709,0.20404084026813507,,28.10828971862793,0.000904419435410629,1.892524003982544,1.9967758655548096,7.312246322631836,1.0584980249404907,78.48046875,182.34652709960938,1.1420767307281494,560.0518798828125,77.0973129272461,182.42218017578125,1.1405460834503174,417.93304443359375,44.63649368286133,163.6180419921875,1.8033828735351562,2039.6134033203125,1.2232046127319336,1.702184796333313,0.6434440612792969,6.911789894104004,1768388.3852681764
1500,0.0012777292868122458,18.653413772583008,0.19952237606048584,,28.964282989501953,0.0007938447695582991,1.8930188417434692,1.9968069791793823,7.313316822052002,1.0582046508789062,74.88347625732422,182.02195739746094,1.1723313331604004,828.1189575195312,77.11511993408203,182.4173126220703,1.1398247480392456,386.8879089355469,45.506038665771484,160.41261291503906,1.8623191118240356,2023.2818603515625,1.2426259517669678,1.7576894760131836,0.654833197593689,5.949272632598877,1906810.8483956286
2000,0.0010649129981175065,18.42212677001953,0.19007508456707,,29.778831481933594,0.0006545554738084113,1.8932156562805176,1.9968193769454956,7.314564228057861,1.0580880641937256,70.98365020751953,181.6614227294922,1.2073794603347778,375.5968933105469,77.06477355957031,182.43479919433594,1.1408607959747314,388.81170654296875,44.79047775268555,157.10379028320312,1.9614530801773071,11882.283203125,1.2629048824310303,1.8145782947540283,0.6775929927825928,5.211320877075195,2142553.673663145
2500,0.0008355527534149587,18.110557556152344,0.17795683443546295,,30.784221649169922,0.0005001861549145554,1.8931925296783447,1.9968180656433105,7.3157267570495605,1.0581018924713135,67.31153869628906,181.3402557373047,1.2425117492675781,350.4414978027344,77.07392120361328,182.4268798828125,1.1419061422348022,373.9964904785156,39.79072952270508,153.4110107421875,2.1832690238952637,47246.234375,1.2859513759613037,1.877117395401001,0.7087559103965759,4.593677043914795,2569876.8878971725
3000,0.0006059284787625074,17.764446258544922,0.16558866202831268,,32.17258834838867,0.00034584755736434975,1.893292784690857,1.9968245029449463,7.316591262817383,1.0580424070358276,63.4295539855957,180.9915008544922,1.2823561429977417,417.6871032714844,77.0977783203125,182.4281005859375,1.1430151462554932,375.076171875,34.973175048828125,149.5263214111328,2.4459445476531982,23429.6640625,1.3089858293533325,1.939333200454712,0.7447669506072998,4.092853546142578,3125765.7049668687
3500,0.0005394922336563468,17.4877872467041,0.1558007001876831,,32.68050003051758,0.0002066474184262493,1.89335036277771,1.9968279600143433,7.317605495452881,1.0580083131790161,61.24976348876953,180.73226928710938,1.3067694902420044,478.2680969238281,77.13652801513672,182.42269897460938,1.1435593366622925,396.3838195800781,30.980918884277344,145.60450744628906,2.706305742263794,1867.1348876953125,1.3286100625991821,1.9943885803222656,0.7738378643989563,3.702256441116333,3664152.162372349
4000,0.0005250033573247492,17.383560180664062,0.152130588889122,,32.79853057861328,9.621161756391294e-05,1.8932163715362549,1.9968194961547852,7.318878173828125,1.058087706565857,60.09434127807617,180.53431701660156,1.3205815553665161,610.5835571289062,77.1529312133789,182.4197540283203,1.143736481666565,402.129638671875,28.921018600463867,143.04367065429688,2.857616901397705,1539.295654296875,1.3383009433746338,2.021207332611084,0.7851009964942932,3.5341858863830566,3968124.0133360443
4500,0.0005195837002247572,17.343690872192383,0.15074576437473297,,32.84348678588867,2.535038041721489e-05,1.8933480978012085,1.9968278408050537,7.319303512573242,1.0580096244812012,59.486167907714844,180.43312072753906,1.3280352354049683,669.4345092773438,77.15907287597656,182.41783142089844,1.1437925100326538,407.3271789550781,28.169889450073242,141.9443817138672,2.918388605117798,1448.8284912109375,1.3426260948181152,2.0328149795532227,0.7893990874290466,3.46694016456604,4098135.619324017
4999,0.0005186202470213175,17.336467742919922,0.15049536526203156,,32.85150909423828,1e-06,1.893396258354187,1.9968308210372925,7.319359302520752,1.0579811334609985,59.36115264892578,180.41403198242188,1.3295795917510986,679.3770141601562,77.15969848632812,182.41799926757812,1.143802523612976,408.5486755371094,28.033397674560547,141.73599243164062,2.929755687713623,1448.890380859375,1.3434277772903442,2.0349626541137695,0.790183424949646,3.4547030925750732,4123042.029642001
